name,volumeId,volumeNumber,year
Biochemical and Biophysical Research Communications - BBRC,volume::biochemical and biophysical research communications - bbrc::2018::17,17,2018
Photonics,volume::photonics::2024::2,2,2024
International Journal of Obesity,volume::international journal of obesity::1998::10,10,1998
Arthroscopy: The Journal of Arthroscopy And Related,volume::arthroscopy: the journal of arthroscopy and related::2020::9,9,2020
IEEE transactions on computers,volume::ieee transactions on computers::2024::10,10,2024
Journal of the CardioMetabolic Syndrome,volume::journal of the cardiometabolic syndrome::2007::16,16,2007
Modern Rheumatology,volume::modern rheumatology::2010::3,3,2010
Clinical Optometry,volume::clinical optometry::2025::17,17,2025
BMC Public Health,volume::bmc public health::2019::2,2,2019
Annals of Translational Medicine,volume::annals of translational medicine::2020::4,4,2020
The European Physical Journal Special Topics,volume::the european physical journal special topics::2024::19,19,2024
Physical Therapy,volume::physical therapy::2009::3,3,2009
European Journal of Operational Research,volume::european journal of operational research::2004::9,9,2004
Ulusal Travma Ve Acil Cerrahi Dergisi-turkish Journal of Trauma & Emergency Surgery,volume::ulusal travma ve acil cerrahi dergisi-turkish journal of trauma & emergency surgery::2026::7,7,2026
Medicine,volume::medicine::2023::7,7,2023
Biological Psychiatry,volume::biological psychiatry::1999::3,3,1999
Sexually Transmitted Diseases,volume::sexually transmitted diseases::1990::16,16,1990
Circulation Journal,volume::circulation journal::2010::8,8,2010
American Journal of Tropical Medicine and Hygiene,volume::american journal of tropical medicine and hygiene::1999::6,6,1999
Journal for the Study of the Old Testament,volume::journal for the study of the old testament::2025::20,20,2025
Journal of Clinical Epidemiology,volume::journal of clinical epidemiology::1993::14,14,1993
Scientific Reports,volume::scientific reports::2025::13,13,2025
Journal of Geophysical Research: Space Physics,volume::journal of geophysical research: space physics::2024::7,7,2024
International Journal of Academic Research in Economics and Management Sciences,volume::international journal of academic research in economics and management sciences::2023::17,17,2023
Lipids in Health and Disease,volume::lipids in health and disease::2018::5,5,2018
Optics Express,volume::optics express::2020::11,11,2020
Gastroenterology Research and Practice,volume::gastroenterology research and practice::2022::10,10,2022
Arthroscopy: The Journal of Arthroscopy And Related,volume::arthroscopy: the journal of arthroscopy and related::2017::6,6,2017
Lex localis - Journal of Local Self-Government,volume::lex localis - journal of local self-government::2025::9,9,2025
IEEE Transactions on Communications,volume::ieee transactions on communications::1995::20,20,1995
Cureus,volume::cureus::2025::6,6,2025
Critical Care,volume::critical care::2001::14,14,2001
Cancer Management and Research,volume::cancer management and research::2024::7,7,2024
The International Journal of Cardiovascular Imaging,volume::the international journal of cardiovascular imaging::2023::3,3,2023
Jurnal Perspektif Pembiayaan dan Pembangunan Daerah,volume::jurnal perspektif pembiayaan dan pembangunan daerah::2024::9,9,2024
Chemosphere,volume::chemosphere::2012::18,18,2012
British Journal of Ophthalmology,volume::british journal of ophthalmology::2016::5,5,2016
ISPRS Int. J. Geo Inf.,volume::isprs int. j. geo inf.::2024::6,6,2024
Journal of Clinical Endocrinology and Metabolism,volume::journal of clinical endocrinology and metabolism::2010::17,17,2010
Clinical Rheumatology,volume::clinical rheumatology::2018::4,4,2018
STAR Protocols,volume::star protocols::2024::19,19,2024
F&S Reports,volume::f&s reports::2024::5,5,2024
Social Science & Medicine (1967),volume::social science & medicine (1967)::2002::15,15,2002
Journal of Occupational and Environmental Hygiene,volume::journal of occupational and environmental hygiene::2009::19,19,2009
Archives of Disease in Childhood,volume::archives of disease in childhood::1950::18,18,1950
Neonatology,volume::neonatology::2004::2,2,2004
Neuroradiology,volume::neuroradiology::2026::10,10,2026
SIAM Journal on Discrete Mathematics,volume::siam journal on discrete mathematics::2009::3,3,2009
Current Reviews in Musculoskeletal Medicine,volume::current reviews in musculoskeletal medicine::2019::16,16,2019
Neuropsychiatric Disease and Treatment,volume::neuropsychiatric disease and treatment::2014::2,2,2014
Atherosclerosis,volume::atherosclerosis::2015::16,16,2015
Value in Health,volume::value in health::2025::11,11,2025
Journal of the American Academy of Child and Adolescent Psychiatry,volume::journal of the american academy of child and adolescent psychiatry::2006::11,11,2006
European journal of medicinal chemistry,volume::european journal of medicinal chemistry::2018::10,10,2018
BRICS Law Journal,volume::brics law journal::2023::11,11,2023
Information Management and Business Review,volume::information management and business review::2024::12,12,2024
2014 IEEE Geoscience and Remote Sensing Symposium,volume::2014 ieee geoscience and remote sensing symposium::2014::7,7,2014
Front. Endocrin.,volume::front. endocrin.::2011::1,1,2011
Symposium on Advances in Databases and Information Systems,volume::symposium on advances in databases and information systems::2012::5,5,2012
European Heart Journal-Cardiovascular Imaging,volume::european heart journal-cardiovascular imaging::2024::9,9,2024
Communications Biology,volume::communications biology::2021::12,12,2021
PLoS ONE,volume::plos one::2025::13,13,2025
Modern Language Review,volume::modern language review::2000::18,18,2000
Homo : internationale Zeitschrift fur die vergleichende Forschung am Menschen,volume::homo : internationale zeitschrift fur die vergleichende forschung am menschen::2010::13,13,2010
Current Rheumatology Reviews,volume::current rheumatology reviews::2024::9,9,2024
Journal of the American Society of Nephrology,volume::journal of the american society of nephrology::2020::6,6,2020
Nutrients,volume::nutrients::2022::7,7,2022
IEEE International Geoscience and Remote Sensing Symposium,volume::ieee international geoscience and remote sensing symposium::2012::18,18,2012
Drug Safety,volume::drug safety::2008::6,6,2008
Insights-Journal of Health and Rehabilitation,volume::insights-journal of health and rehabilitation::2025::5,5,2025
Materials,volume::materials::2021::16,16,2021
Językoznawstwo,volume::językoznawstwo::2023::10,10,2023
"Highlights in Business, Economics and Management","volume::highlights in business, economics and management::2024::5",5,2024
Mathematical methods in the applied sciences,volume::mathematical methods in the applied sciences::2023::9,9,2023
Journal of laparoendoscopic & advanced surgical techniques. Part A,volume::journal of laparoendoscopic & advanced surgical techniques. part a::2013::12,12,2013
Asian Pacific Journal of Allergy and Immunology,volume::asian pacific journal of allergy and immunology::2020::20,20,2020
Corporate Law & Governance Review,volume::corporate law & governance review::2023::14,14,2023
Journal of Geophysics and Engineering,volume::journal of geophysics and engineering::2025::16,16,2025
Journal of Electrocardiology,volume::journal of electrocardiology::2013::3,3,2013
Fermentation,volume::fermentation::2023::4,4,2023
Aerospace,volume::aerospace::2024::16,16,2024
Methods,volume::methods::2026::15,15,2026
Statistics and Economics,volume::statistics and economics::2025::12,12,2025
British Journal of Cancer,volume::british journal of cancer::1991::16,16,1991
Global Spine Journal,volume::global spine journal::2024::20,20,2024
Scandinavian Journal of Pain,volume::scandinavian journal of pain::2016::11,11,2016
Age and Ageing,volume::age and ageing::2018::14,14,2018
Frontiers in Cardiovascular Medicine,volume::frontiers in cardiovascular medicine::2022::13,13,2022
Sexual Medicine,volume::sexual medicine::2021::15,15,2021
Molecular Cancer Research,volume::molecular cancer research::2018::1,1,2018
Veterinary Research,volume::veterinary research::2018::15,15,2018
Microorganisms,volume::microorganisms::2025::15,15,2025
Reviews on recent clinical trials,volume::reviews on recent clinical trials::2022::9,9,2022
Forests,volume::forests::2024::1,1,2024
Cardiology in the Young,volume::cardiology in the young::2022::13,13,2022
PLoS ONE,volume::plos one::2024::10,10,2024
Cureus,volume::cureus::2024::3,3,2024
Computers & electrical engineering,volume::computers & electrical engineering::2018::11,11,2018
International Journal of Endocrinology,volume::international journal of endocrinology::2023::12,12,2023
JURNAL BIOLOGI TROPIS,volume::jurnal biologi tropis::2024::11,11,2024
PLoS ONE,volume::plos one::2012::17,17,2012
Pedagogy. Theory &amp; Practice,volume::pedagogy. theory &amp; practice::2025::12,12,2025
Chest,volume::chest::2009::2,2,2009
World Journal of Gastroenterology,volume::world journal of gastroenterology::2012::19,19,2012
Journal of Clinical Endocrinology and Metabolism,volume::journal of clinical endocrinology and metabolism::2001::20,20,2001
Chronobiology International,volume::chronobiology international::2016::5,5,2016
