venueId,name
legal medicine,Legal Medicine
japanese journal of ophthalmology,Japanese Journal of Ophthalmology
pakistan journal of medical sciences,Pakistan Journal of Medical Sciences
international scientific-practical conference problems of infocommunications science and technology,International Scientific-Practical Conference Problems of Infocommunications Science and Technology
the 2nd international conference on innovative research in renewable energy technologies (irret 2022),The 2nd International Conference on Innovative Research in Renewable Energy Technologies (IRRET 2022)
nature protocols,Nature Protocols
relational religion,Relational Religion
international journal of food properties,International Journal of Food Properties
emergency medicine journal,Emergency Medicine Journal
eating behaviors,Eating Behaviors
journal of neurology neurosurgery & psychiatry,Journal of Neurology Neurosurgery & Psychiatry
brain stimulation,Brain Stimulation
neurourology and urodynamics,Neurourology and Urodynamics
journal of ethnobiology and ethnomedicine,Journal of Ethnobiology and Ethnomedicine
bull's birds of new york state,Bull's Birds of New York State
chinese journal of plant ecology,Chinese Journal of Plant Ecology
legume research an international journal,Legume Research An International Journal
plants,Plants
journal of occupational and environmental medicine,Journal of Occupational and Environmental Medicine
decision science letters,Decision Science Letters
materials structure,Materials Structure
journal of lightwave technology,Journal of Lightwave Technology
physics access,Physics Access
2023 ieee 13th international conference on pattern recognition systems (icprs),2023 IEEE 13th International Conference on Pattern Recognition Systems (ICPRS)
系统科学与信息学报(英文),系统科学与信息学报(英文)
oral health & dental science,Oral Health & Dental Science
"the handbook of multimodal-multisensor interfaces: language processing, software, commercialization, and emerging directions - volume 3","The Handbook of Multimodal-Multisensor Interfaces: Language Processing, Software, Commercialization, and Emerging Directions - Volume 3"
metabolic syndrome and related disorders,Metabolic Syndrome and Related Disorders
disease markers,Disease Markers
metrologia,Metrologia
journal of innovative image processing,Journal of Innovative Image Processing
experimental and therapeutic medicine,Experimental and Therapeutic Medicine
jtcvs open,JTCVS Open
heart rhythm o2,Heart Rhythm O2
ieee power & energy society general meeting,IEEE Power & Energy Society General Meeting
international journal of modern physics b,International Journal of Modern Physics B
"northern money, southern land","Northern Money, Southern Land"
endocrine practice,Endocrine Practice
jacc. heart failure,JACC. Heart failure
scandinavian journal of rheumatology,Scandinavian Journal of Rheumatology
journal of global antimicrobial resistance,Journal of Global Antimicrobial Resistance
circulation. cardiovascular interventions,Circulation. Cardiovascular Interventions
al-azhar medical journal,Al-Azhar Medical Journal
revenue recognition,Revenue Recognition
british journal of nutrition,British Journal of Nutrition
mausam,Mausam
international journal of community medicine and public health,International Journal of Community Medicine and Public Health
microwave and optical technology letters (print),Microwave and optical technology letters (Print)
journal of crohn's & colitis,Journal of Crohn's & Colitis
biodiversity data journal,Biodiversity Data Journal
the aging male,The Aging Male
"image, video, and multidimensional signal processing workshop","Image, Video, and Multidimensional Signal Processing Workshop"
"folia pomeranae universitatis technologiae stetinensis agricultura, alimentaria, piscaria et zootechnica","Folia Pomeranae Universitatis Technologiae Stetinensis Agricultura, Alimentaria, Piscaria et Zootechnica"
nusantara science and technology proceedings,Nusantara Science and Technology Proceedings
systems science & control engineering,Systems Science & Control Engineering
clinical gastroenterology and hepatology,Clinical Gastroenterology and Hepatology
journal of infection and chemotherapy,Journal of Infection and Chemotherapy
"international symposium on modeling and optimization in mobile, ad-hoc and wireless networks","International Symposium on Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks"
